Name Country Purpose Altitude Period Mass Year Lifetime
"Aalto-1" "Finland" "Technology Development" 517 94.7 5 2017 2
"ABS-2" "NR" "Communications" 35793 1436.03 6330 2014 15
"ABS-2A" "NR (12/16)" "Communications" 35700 1436.1 1800 2016 15
"ABS-3A" "NR" "Communications" 35803 1436 2000 2015 15
"ABS-4" "NR" "Communications" 35793 1436.1 4143 2004 12
"ABS-6" "NR" "Communications" 35794 1436.08 2894 1999 15
"ABS-7" "South Korea" "Communications" 35791 1436.06 3500 1999 15
"USA 235" "USA" "Communications" 35801 1436.1 6169 2012 14
"USA 246" "NR" "Communications" 35803 1436.1 6169 2013 14
"Aeolus" "NR (11/18)" "Earth Observation" 317 92.4 1367 2018 3
"Aerocube 5A" "NR" "Technology Development" 886 98 5 2013 2
"Aerocube 5B" "NR" "Technology Development" 886 98 5 2013 2
"Aerocube 6A" "NR" "Technology Development" 700 97.88 5 2014 3
"Aerocube 6B" "NR" "Technology Development" 700 97.88 5 2014 3
"Eutelsat 28B" "France" "Communications" 35808 1436.08 3460 2008 15
"AIM" "USA" "Earth Observation" 552 96.2 215 2007 2
"AISSat-1" "Norway" "Communications" 632 97.2 6 2010 3
"AISSat-2" "Norway" "Communications" 631 97.27 6 2014 3
"AIST-2" "Russia" "Technology Development" 582 96.06 53 2013 3
"Al Yah-3" "NR (5/18)" "Communications" 35796 1436 3795 2018 15
"Alcomsat" "Algeria" "Communications" 35798 1436.1 5225 2017 15
"Alsat-2B" "Algeria" "Earth Observation" 660 97.7 117 2016 5
"Alsat-1B" "Algeria" "Earth Observation" 704 98.4 103 2016 5
"Alsat-2A" "Algeria" "Earth Observation" 674 98.2 130 2010 5
"Altair-1" "NR (10/17)" "Technology Demonstration" 404 92.6 10 2017 0.25
"Amazonas-2" "Brazil" "Communications" 35805 1436.08 5465 2009 15
"Amazonas-3" "Brazil" "Communications" 35791 1436.05 6265 2013 15
"Amazonas-4A" "NR" "Communications" 35795 1436.24 2938 2014 15
"Amazonas-5" "NR (3/18)" "Communications" 35789 1436.11 5900 2017 15
"AMC-1" "USA" "Communications" 35800 1436.1 2783 1996 15
"AMC-10" "USA" "Communications" 35797 1436.09 2315 2004 15
"AMC-11" "USA" "Communications" 35797 1436.07 2340 2004 15
"AMC-15" "USA" "Communications" 35795 1436.08 4200 2004 15
"AMC-16" "USA" "Communications" 35793 1436.1 4312 2004 15
"AMC-18" "USA" "Communications" 35800 1436.1 2081 2006 15
"AMC-2" "USA" "Communications" 35798 1436.1 2648 1997 15
"AMC-21" "United Kingdom" "Communications" 35793 1436.1 2500 2008 15
"AMC-4" "USA" "Communications" 35791 1436.1 3909 1999 15
"AMC-6" "USA" "Communications" 35795 1436.12 3901 2000 15
"AMC-7" "USA" "Communications" 35798 1436.08 1935 2000 15
"AMC-8" "USA" "Communications" 35798 1436.07 2015 2000 15
"Anik F1" "Canada" "Communications" 35793 1436.08 4710 2000 15
"Anik F1R" "Canada" "Communications" 35795 1436.1 4500 2005 15
